#	Fracture
2HPP	2 Hour PostPrandial
HCA	Healthcare Certification Authority
HCAHPS	Hospital Consumer Assessment of Health Plans Survey
HCAHPS	Hospital Consumer Assessment of Health Providers and Systems
HCAP	Hospital care assurance program
HCAP	Hospital Care Assistance Program
HCAP	Hospital Care Assurance Plan
HCBB	Health Care Blue Book
HCBP	Hospital Community Benefit Program
HCBR	Hospital Comparison Benchmark Reports
HCC	Harvard Cancer Center
HCC	Hepatocellular carcinoma
HCC	Hospital Community Cooperative
HCDSB	Hospital and Community Dental Services Branch
HCE	Health Care Ethics
HCE	Health Care Executive
HCF	Hospitals Contributions Fund
HCF	Hospitals Contribution Fund
HCG	Human Chorionic Gonadatropin
HCGH	Howard County General Hospital
HCH	Hiawatha Community Hospital
HCH	Holy Cross Hospital
HCH	Hackettstown Community Hospital
HCH	Harrison County Hospital
HCHD	Harris County Hospital District
HCHD	Houston County Hospital District
HCHD	Hansford County Hospital District
HCK	Hospital Compressor Kit
HCl	HydroChloric Acid
HCLM	Hôpital Charles-LeMoyne
HCMC	Hennepin County Medical Center
HCMN	Health Communication Materials Network
HCNCC	Hospital Council of Northern and Central California
HCNT	Hospital Central Negotiating Team
HCP	Hereditary coproporphyria
HCPA	Hospital de Clinicas de Porto Alegre
HCPCS	Health Care Product Code for Supplies
HCPCS	Healthcare Common Procedure Coding System
HCPS	Hantavirus cardiopulmonary syndrome
HCPS	Hospital Care Plan System
HCQIP	Health Care Quality Improvement Program
HCSA	Hospital Consultants and Specialists Association
HCSC	Hospital Clinico San Carlos
HD	Healthy Diet
HDC	Hospital Dialysis Center
HDCH	Helen DeVos Children's Hospital
HDCU	Hospital Day Care Units
HDD	High-Dose Dexamethasone
HDDS	Hospital Discharge Data System
HDF	Hotel-Dieu de France
HDH	Highland District Hospital
HDH	Housing Dining Hospitality
HDIF	Healthcare Data Interpretation Facility
HDJ	Hospitalisation de Jour
HDP	Hospitality Design Partnership
HDS	Hypodermic Disposal Systems
HDU	High Dependency Unit
HEAL	Hospital Educational Advocacy Liaisons
HEAR	Hospital Emergency Ambulance Radio
HEART	Honesty Equality Accountability Respect Teamwork
HEDDS	Hospital Emergency Department Data System
HEDDS	Hospital Emergency Department Data Systems
HEIC	Hospital Epidemiology and Infection Control
HEIC	Hospital Epidemiology Infection Control
HEICS	Hospital Emergency Incident Command System
HELLP	Hemolytic anemia, elevated liver enzymes and low platelet count syndrome
HELP	Helping Every Lost Practitioner
HELP	Hospital Elder Life Program
HEMES	Hospital Emergency Medical Evacuation Service
HEMS	Helicopter Emergency Medical Services
HEN	Hospital Engagement Network
HEN	hospital engagement network—
HEP C	Hepatitis C
HERO	Healthcare Employees Reaching Out
HERO	Health Educational and Rural Outreach
HERO	Health Enhancement Research Organization
HERT	Hospital Emergency Response Training
HES	Hazard Evaluation System
HES	Health Service Executive (Ireland)
HESD	Hospital Education and Staff Development
HEVP	Horizontal Eye Velocity Pcs
HF	Health Facility
HFA	High-functioning autism
HFCP	Hospital dos Fornecedores de Cana de Piracicaba
HFEA	Human Fertilisation and Embryo Authority
HFH	Henry Ford Hospital
HFMA	Hospital Fire Marshals Association
HFMD	Hand, foot, and mouth disease
HFS	Healthcare and Family Services
HFS	Hopkins Fulfillment Services
HFWH	Henry Ford Wyandotte Hospital
HGDS	Hospital Grade Disinfectant Spray
HGEC	Hospital Geral do Exercito de Curitiba
HGF	Hospital Geral de Fortaleza
HGPS	Hospital General de la Plaza de la Salud
HGT	Hospitality Group Training
HGU	Hospital General Universitario
HGVT	Hospital General del Valle de Tulancingo
HGY	Hospital General Yagüe
HGY	Hospital General Yaguee
HH	Hochschild Homology
HH	Harefield Hospital
HH	Hit Head
HH	Highland Hospital, Rochester, New York
HHA	Home Health Agency
HHC	Hospital Headpiece Carrier
HHC	Health and Hospitals Corporation
HHC	Health and Hospital Corporation
HHC	Hospital and Health Center
HHCC	Household to Hospital Continuum of Care
HHH	Hospital Hospitality House
HHI	Healthier Hospitals Initiative
HHKPA	Hammersmith Hospital Kidney Patients' Association
HHMH	Hazel Hawkins Memorial Hospital
HHMH	Howard Hubbard Memorial Hospital
HHN	Hand Held Nebulizer
HHN	Hospitals Health Networks
HHNT	Hammersmith Hospitals NHS Trust
HHP	Hearing Healthcare Providers
HHP	Holistic Health Practitioner
HHPN	Hospital Health Promotion Network
HHS	Hospital Hobo Syndrome
HHU	High Hospital Utilization
HI	High Isolation
HI	Health Index
HI	Hearing impaired
HIA	Health Impact Assessment
HIAE	Hospital Israelita Albert Einstein
HIAS	Hospital Infantil Albert Sabin
HIB	Hemophilus Influenza B
HiB	Haemophilus influenza type B disease
HIC	Health Insurance Claim
HIC	Hospitals Insurance Company
HICL	Hospitals In Common Laboratory
HICP	Hospital Inspector Certification Program
HICPAC	Hospital Infection Control Practices Advisory Committee
HICS	Hospital Incident Command System
HIDA	Hospital Infections Disclosure Act
HIDD	Hospital Inpatient Discharge Data
HIDI	Hospital Industry Data Institute
HIF	Hospital Insurance Forum
HIFR	Hospital Income Fund Reimbursable
HIIP	Hospital Intensive Insulin Program
HIMS	Horizon Intelligent Medical System
HIMS	Hospital Incident Management System
HIMS	Health Information Management System
HIMS	Hospital Information Management System
HIMT	Hospital Incident Management Team
HIMT	Hospital Incident Managment Team
HINH	Hospital in the Nursing Home
HIP	Hospital In-Patient
HIP	Health Improvement Program
HIPA	Health Insurance Plan Abstraction
HIPE	Hospital In-Patient Enquiry
HIPE	Hospital In Patient Enquiry
HIPPO	Health Information Project Presentation Online
HIS	Hospital Information Systems
HISI	Hospital Infection Society India
HISS	Hospital Infection Standardized Surveillance
HISS	Hospital-acquired Infections Surveillance System
HITI	Health Information Technology Institute
HJJF	Hospital José Joaquim Fernandes
HJRR	HealthEast Joint Replacement Registry
HKBH	Hong Kong Baptist Hospital
HKCH	Hong Kong Children's Hospital
HKHA	Hong Kong Hospital Authority
HKL	Hospital Kuala Lumpur
HKMS	Hospital Kosher Meals Service
HLBP	Heart, Lung, and Blood Program
HLBW	Heavier Low Birth Weight
HLC	Healthcare Leadership Council
HLC	Hospital Liaison Committee
HLCI	Hospital Local Cartagena de Indias
HLH	Haydom Lutheran Hospital
HLIS	Hospital Library Interest Section
HLPP	Hospital Liability Protection Plan
HLT	Hair Loss Talk
HMAH	Hume and Melrose Animal Hospital
HMC	Hopkins Medical Center
HMC	Hadssa Medical Center
HMC	Hadassah Medical Center
HMCA	Hospital and Medical Care Association
HMCNM	Hyperbaric Medical Center of New Mexico
HMCP	Hospital e Maternidade Celso Pierro
HMD	Hyaline Membrane Disease
HME	Health Maintenance Exam
HME	Hospital Molecular Epidemiology
HME	Hospital and Molecular Epidemiology
HMG	Hospital Management Group
HMH	Hardin Memorial Hospital
HMH	Harford Memorial Hospital
HMHD	Hunt Memorial Hospital District
HMHD	Hamilton Memorial Hospital District
HMHP	Hoag Memorial Hospital Presbyterian
HMHS	His Majesty’s Hospital ship
HMIS	Hospital Management Information System
HMN	Hospital Marketing National
HMO	Health Maintenance Organization
HMO	House Medical Officer
HMO	Health Maintenance Organizations
HMP	Hot Moist Pack
HMRM	Hospital Municipal Rocha Maia
HMS	Home Medical Service
HMSC	Hua Mei Seniors Clinic
HMSN	Hereditary motor and sensory polyneuropathy type III
HMSO	Highline Medical Services Organization
HMSS	Hospital Management Systems Society
HMSW	Harris Methodist SouthWest Hospital
HMT	Heavy Metal Toxicity
HMU	Hospital Medicine Unit
HNAC	Healthcare Network Advisory Committee
HNDAC	Hospital Nacional Daniel Alcides Carrion (Spanish: Daniel Alcides Carrion National Hospital; Bellavista, Callao, Peru)
HNF	Hospice Nursing Facility
HNH	Holy Name Hospital
HNO	Hospital Nobo Otrobanda
HNP	Herniated Nucleus Propulsus
HNR	Hospital Nereu Ramos
HNSD	Hospital Nossa Senhora das Dores
HNSF	Hospital Nossa Senhora de Fátima
HNSP	Hospital Non Specialist Program
HNV	Hospital Network Ventures
HOD	Hospital Outpatient Department
HOE	Hands On Experience
HOH	Hard of hearing
HOM	Health Organization Management
HONI	Hospice Of North Idaho
HONJ	Hospice Of New Jersey
HOOAH	Healing Outside Of A Hospital
HOOS	Hip disability and Osteoarthritis Outcome Score
HOPA	Horizontal Open Probing Attachment
HOPD	Hospital Out-Patient Department
HOPE	Health Organizer Plus Essentials
HOPE	Health Outreach and Prevention Education
HOPE	Hypertension Outreach Prevention Education
HOPE	Health Opportunities For People Everywhere
HOPE	Healing Outreach Professional Endeavor
HOPQDRP	Hosptial Out-Patient Quality Data Reporting Program
HOPS	History, Observation, Palpation and Strength/sensation
HOPS	Having an Operation on Personal Section
HOQ	Healthcare Organization Questionnaire
HOQI	HOspital Quality Inspection
HOS	Hospital
HOS	Hospitals
HOSF	Hospital Outpatient Surgical Facility
HOSP	Hospital
HOV	Hospital Outpatient Visit
HPAA	Heath Promotion Assessment Action
HPAC	Hospital Pharmaceuticals Advisory Committee
HPAI	Highly pathogenic avian influenza
HPB	Health Partnership Board
HPCU	Hospital Palliative Care Unit
HPF	Hospital Professional Fee
HPH	Health Promoting Hospitals
HPH	Health Promoting Hospital
HPH	Highland Park Hospital
HPHC	Harvard Pilgrim Health Care
HPN	Hospitality Performance Network
HPP	Hospital Preparedness Program
HPPA	Hospital Purchaser Provider Agreement
HPPL	Hospital Pharmacy Product List
HPPP	Hospital Provider Payment Program
HPRT	Hypoxanthine-guanine phosphoribosyl transferase deficiency
HPS	Hantavirus pulmonary syndrome
HPSA	Health Professional Shortage Area
HPSF	Hospital Pakar Sultanah Fatimah
HPSI	Hospital Pyo Septic Infections
HPT	Heartland Park Topeka
HPTP	Hospital Pharmacy Transformation Programme
HPV	Human papillomavirus infection
HPVF	Hospital Protected Vital Facilities
HQA	Hospital Quality Alliance
HQF	Hospital Quality Foundation
HQID	Hospital Quality Incentive Demonstration
HQR	Hospital Quality Reporting
HR	Haematological Response
HRAE	Hospital Regional de Alta Especialidad
HRAH	Highland Road Animal Hospital
HRAH	Hart Road Animal Hospital
HRAH	Hudson Road Animal Hospital
HRAH	Hamilton Ridge Animal Hospital
HRAN	Hospital Regional da Asa Norte
HRCT	High-Resolution Computed Tomography
HRF	Hospitals of Regina Foundation
HRF	Hospital Revolving Fund
HRG	Healthcare Resource Group
HRH	Houlton Regional Hospital
HRH	Hannibal Regional Hospital
HRH	Hudson Regional Hospital
HRHD	Hospital Regional Honorio Delgado
HRN	Hospital Registration Number
HROD	Hospital Record of Death
HRR	Hospital Referral Region
HRR	Hospital Readmissions Reduction
HRR(S)	Hospital Referral Region(S)
HRRP	Hospital Readmission Reduction Program
HRSA	Hospital Resource And Services Administration
HRSP	Hospital Regional São Paulo
HRTN	Hospital Risoleta Tolentino Neves
HRU	Hospital Research Unit
HSA	Health Service Area
HSA	Hospital Spending Allowance
HSA(s)	Hospital Service Area(s)
HSAC	Hospitality Services Advisory Committee
HSC	Hospital for Special Care
HSCM	Hospital Supply Chain Metrics
HSCT	Hematopoietic stem cell transplantation
HSD	Health Service District
HSDS	Hospitality Software Development Services
HSDU	Hospital Sterilisation and Disinfection Unit
HSDU	Hospital Sterilisation and Decontamination Unit
HSDU	Hospital Sterilization and Disinfection Unit
HSDU	Hospital Sterilisation Decontamination Unit
HSDU	Hospital Sterilising And Disinfection Unit
HSF	Hospital Saturday Fund
HSH	Holy Spirit Hospital
HSHH	High Security Health Hotline
HSHS	Hospital Sisters Health System
HSI	Hospitality Solutions International
HSLE	Hospital de Santa Luzia de Elvas
HSM	HepatoSpleenoMegaly
HSMO	Hospital Sisters Mission Outreach
HSMR	Hospital Standardized Mortality Ratio
HSMR	Hospital Standard Mortality Ratio
HSMR	Hospital standardised mortality ratio
HSMR	Hospital Standardised Mortality Ratios
HSMS	Hospital Sanitation Monitoring System
HSP	Heart Sink Patient
HSP	Hereditary spastic paraplegia
HSR	Hospital of Saint Raphael
HSRC	Health System Rehabilitation Community
HSRP	Health Sector Reform Programme
HSRV	Hospital Specific Relative Value
HSS	Hospital for Special Surgery
HSS	Hospital for Special Surgery [N.Y.]
HSS	Hospitality Staffing Solutions
HSSD	Hospital Sterile Services Department
HSSK	Hospital for Special Surgery Knee
HSSU	Hospitals Sterile Services Unit
HSSU	Hospital Sterile Services Units
HSVP	Hospital Sao Vicente de Paulo
HSVP	Hospital San Vicente de Paul
HT	Home Treatment
HTA	Health Technology Assessment
HTA	Human Tissue Authority
HTAR	Hospital Tengku Ampuan Rahimah
HTC	Hemophilia Treatment Center
HTD	HunTington's Disease
HTG	Hospitality Technology Group
HTLV	Human T-cell Lymphotropic Virus
HTMC	Hospital Teodoro Maldonado Carbo
HTN	Hospitality Training Network
HTN	Hypertension
HTO	Hospital Transfer Order
HTP	Hospital Transformation Program
HTPH	Happy Tails Pet Hospital
HTPP	Hospital Transformation Performance Program
HTQ	Hospital Terra Quente
HTS	Hospitality Technical Services
HTSD	Hospital Transport Status Dashboard
HU	Highly Unusual
HU	Health Unit
HUCH	Helsinki University Central Hospital
HUD	Hospital Unit Dose
HUDN	Hospital Universitario Departamental of Nariño
HUDN	Hospital Universitario Departamental De Nariño
HUE	Hospital Universitario Esperanza
HUG	Hospitality Unified Group
HUGS	Hospitality Ushers Greeters And Safety
HUH	Howard University Hospital
HUH	Hahnemann University Hospital
HUH	Hospital Unit Holding
HULP	Hospital Universitario La Paz
HUMS	Health and Usage Monitoring System
HUP	Hospital of the University of Pennsylvania
HUP	Hospital of University of Pennsylvania
HUSM	Hospital Universiti Sains Malaysia
HUV	Hospital Universitario del Valle
HV	Health Visitor
HVBP	Hospital Value Based Purchasing
HVCM	Hospital Vicente Corral Moscoso
HVHs	High-Volume Hospitals
HVI	Heart and Vascular Institute
HVS	High Vaginal Swab
HVSB	Hospital Veterinario Sao Bento
HWD	Hospital Wearable Defibrillator
HWNC	Huron Woods Nursing Center
HWRC	Health & Wellness Resource Center
HWW	Hospital Without Walls
Hx	Medical History
HXR	Hard X-Ray
HYMC	Hillel Yaffe Medical Center
IA	Irrigation and Aspiration
IABO	Intra-Aortic Balloon Occlusion
IACH	Irwin Army Community Hospital
IACH	Ireland Army Community Hospital
IACP	Integrated Aged Care Program
IACUC	Institutional Animal Care and Use Committee
IAH	Inova Alexandria Hospital
IAHS	Illawarra Area Health Service
IAM	Internal Auditory Meatus
IATP	Integrovaný apatický triumfální Potomek
IBC	Iron Binding Capacity
IBD	Isolation By Distance
IBD	Inflammatory bowel disease
IBFH	Initiative Baby Friendly Hospital
IBIDS	Ichthyosis, brittle hair, intellectual impairment, decreased fertility, and short stature syndrome
IBM	Inclusion body myositis
IBMI	Intra Bone Marrow Injection
IBMM	Individual Based Methadone Maintenance
IBNR	Injured Badly, Not Recovered
IBS	Irritable Bowel Syndrome
IBS	Ichthyosis bullosa of Siemens
IBS-C	Irritable bowel syndrome with constipation
IBS-D	Irritable bowel syndrome with diarrhoea
IBS-M	Mixed Irritable bowel syndrome
IC	Individual Case
IC	Infection Control
IC	Interstitial cystitis
ICARS	International Cooperative Ataxia Rating Scale
ICCU	Intensive Cardiac Care Unit
ICD	International Classification of Diseases
ICD-9-CM	CM International Classification of Diseases, Ninth Revision, Clinical Modification
ICE	Intensive Clinical Experience
ICE	In Case of Emergency
ICE	IntraCardiac Echocardiography
ICES	Information Collection and Evaluation System
ICESP	Instituto do Câncer do Estado de São Paulo
ICF	Immunodeficiency, centromere instability and facial anomalies syndrome
ICHE	Infection Control and Hospital Epidemiology
ICHE	Infection Control Hospital Epidemiology
ICHE	Infection Control and Hospital
ICMCF	Ingham County Medical Care Facility
ICN	Intensive Care Neonatal
ICN	Infection Control Nurse
ICN	Integrated Care Network
ICP	Intra-Cranial Pressure
ICP	Integrated Care Pilot
ICP	Interdisciplinary Care Plan
ICP	Intermittent Catheterisation Protocol
ICP	Intrahepatic Cholestasis of Pregnancy
ICP	Intracranial pressure
ICS	Inhaled Corticosteroid
ICSI	Intra-Cytoplasmic Sperm Injection
ICT	ImmunoChemoTherapy
ICT	Infection Control Team
ICT	Insulin Coma Therapy
ICU	Intensive Care Unit
ID	During the Day
ID	Infectious disease
IDA	Iron Deficiency Anemia
IDA	Indian Dental Association
IDBS	Implant Dentistry Basic Start-up kit
IDCA	Independent Diagnostic Clinics Association
IDCH	Institute of Diseases of the Chest and Hospital
IDCR	Inspection Discrepancy and Correction Record
IDCU	Intensive Digestive Care Unit
IDCU	Infectious Disease Control Unit
IDD	Internal Decompression Device
IDD	Intervertebral Differential Dynamics therapy
IDE	Investigational Device Exemption
IDL	instrumental activities of daily living
IDP	Infant Development Program
IDRH	Department of Infectious Disease and Reproductive Health
IDS	Inventory of Depressive Symptomatology
IDTP	Intermediate Day Treatment Program
IDU	Intravenous Drug User
IEHG	Ireland East Hospital Group
